congress,chamber,icpsr,district_code,state_abbrev,party,bioname,extremism
50,House,403,6.0,AL,D,"BANKHEAD, John Hollis",0.517
50,House,1869,5.0,AL,D,"COBB, James Edward",0.628
50,House,2364,4.0,AL,D,"DAVIDSON, Alexander Caldwell",0.521
50,House,3283,7.0,AL,D,"FORNEY, William Henry",0.575
50,House,4349,2.0,AL,D,"HERBERT, Hilary Abner",0.516
50,House,5043,1.0,AL,D,"JONES, James Taylor",0.617
50,House,6996,3.0,AL,D,"OATES, William Calvin",0.475
50,House,9992,8.0,AL,D,"WHEELER, Joseph",0.422
50,House,991,2.0,AR,D,"BRECKINRIDGE, Clifton Rodes",0.523
50,House,2775,1.0,AR,D,"DUNN, Poindexter",0.433
50,House,6379,3.0,AR,D,"McRAE, Thomas Chipman",0.441
50,House,7302,5.0,AR,D,"PEEL, Samuel West",0.447
50,House,8030,4.0,AR,D,"ROGERS, John Henry",0.579
50,House,708,2.0,CA,D,"BIGGS, Marion",0.236
50,House,3098,5.0,CA,R,"FELTON, Charles Norton",0.17
50,House,6294,3.0,CA,R,"McKENNA, Joseph",0.287
50,House,6731,4.0,CA,R,"MORROW, William W.",0.409
50,House,9340,1.0,CA,D,"THOMPSON, Thomas Larkin",0.207
50,House,9607,6.0,CA,R,"VANDEVER, William",0.429
50,House,9140,1.0,CO,R,"SYMES, George Gifford",0.212
50,House,3368,2.0,CT,D,"FRENCH, Carlos",0.292
50,House,3751,4.0,CT,D,"GRANGER, Miles Tobey",0.485
50,House,8124,3.0,CT,R,"RUSSELL, Charles Addison",0.5
50,House,9600,1.0,CT,D,"VANCE, Robert Johnstone",0.22
50,House,7325,1.0,DE,D,"PENINGTON, John Brown",0.387
50,House,2367,1.0,FL,D,"DAVIDSON, Robert Hamilton McWhorta",0.461
50,House,2682,2.0,FL,D,"DOUGHERTY, Charles",0.399
50,House,447,10.0,GA,D,"BARNES, George Thomas",0.551
50,House,804,6.0,GA,D,"BLOUNT, James Henderson",0.611
50,House,1472,9.0,GA,D,"CANDLER, Allen Daniel",0.508
50,House,1511,8.0,GA,D,"CARLTON, Henry Hull",0.673
50,House,1833,7.0,GA,D,"CLEMENTS, Judson Claudius",0.658
50,House,2177,3.0,GA,D,"CRISP, Charles Frederick",0.671
50,House,3835,4.0,GA,D,"GRIMES, Thomas Wingfield",0.567
50,House,6978,1.0,GA,D,"NORWOOD, Thomas Manson",0.513
50,House,8940,5.0,GA,D,"STEWART, John David",0.502
50,House,9516,2.0,GA,D,"TURNER, Henry Gray",0.763
50,House,27,4.0,IL,R,"ADAMS, George Everett",0.593
50,House,166,12.0,IL,D,"ANDERSON, George Alburtus",0.405
50,House,366,18.0,IL,R,"BAKER, Jehu",0.089
50,House,1483,15.0,IL,R,"CANNON, Joseph Gurney",0.332
50,House,2766,1.0,IL,R,"DUNHAM, Ransom Williams",0.629
50,House,3546,11.0,IL,R,"GEST, William Harrison",0.374
50,House,4316,7.0,IL,R,"HENDERSON, Thomas Jefferson",0.281
50,House,4458,6.0,IL,R,"HITT, Robert Roberts",0.402
50,House,4564,5.0,IL,R,"HOPKINS, Albert Jarvis",0.431
50,House,5431,16.0,IL,D,"LANDES, Silas Zephaniah",0.497
50,House,5440,17.0,IL,D,"LANE, Edward",0.412
50,House,5505,2.0,IL,D,"LAWLER, Frank",0.3
50,House,6065,3.0,IL,R,"MASON, William Ernest",0.453
50,House,7277,9.0,IL,R,"PAYSON, Lewis Edwin",0.248
50,House,7490,8.0,IL,R,"PLUMB, Ralph",0.636
50,House,7548,10.0,IL,R,"POST, Philip Sidney",0.431
50,House,8094,14.0,IL,R,"ROWELL, Jonathan Harvey",0.452
50,House,8815,13.0,IL,D,"SPRINGER, William McKendree",0.324
50,House,9302,20.0,IL,R,"THOMAS, John Robert",0.486
50,House,9443,19.0,IL,D,"TOWNSHEND, Richard Wellington",0.175
50,House,1146,6.0,IN,R,"BROWNE, Thomas McLelland",0.412
50,House,1363,7.0,IN,D,"BYNUM, William Dallas",0.345
50,House,1679,9.0,IN,R,"CHEADLE, Joseph Bonaparte",0.219
50,House,4529,4.0,IN,D,"HOLMAN, William Steele",0.267
50,House,4621,1.0,IN,R,"HOVEY, Alvin Peterson",0.467
50,House,4629,3.0,IN,D,"HOWARD, Jonas George",0.343
50,House,5003,8.0,IN,R,"JOHNSTON, James Thomas",0.311
50,House,6081,5.0,IN,D,"MATSON, Courtland Cushing",0.295
50,House,7074,2.0,IN,D,"O'NEALL, John Henry",0.429
50,House,7135,10.0,IN,R,"OWEN, William Dale",0.522
50,House,7542,1.0,IN,R,"POSEY, Francis Blackburn",0.513
50,House,8478,13.0,IN,D,"SHIVELY, Benjamin Franklin",0.291
50,House,8867,11.0,IN,R,"STEELE, George Washington",0.36
50,House,10031,12.0,IN,R,"WHITE, James Bain",0.272
50,House,159,8.0,IA,,"ANDERSON, Albert Raney",0.053
50,House,1978,7.0,IA,R,"CONGER, Edwin Hurd",0.361
50,House,3401,4.0,IA,R,"FULLER, William Elijah",0.212
50,House,3517,1.0,IA,R,"GEAR, John Henry",0.552
50,House,4233,2.0,IA,D,"HAYES, Walter Ingalls",0.422
50,House,4306,3.0,IA,R,"HENDERSON, David Bremner",0.309
50,House,4530,10.0,IA,R,"HOLMES, Adoniram Judson",0.349
50,House,5203,5.0,IA,R,"KERR, Daniel",0.128
50,House,5848,9.0,IA,R,"LYMAN, Joseph",0.608
50,House,9047,11.0,IA,R,"STRUBLE, Isaac S.",0.221
50,House,9894,6.0,IA,,"WEAVER, James Baird",0.237
50,House,172,5.0,KS,,"ANDERSON, John Alexander",0.226
50,House,3414,2.0,KS,R,"FUNSTON, Edward Hogue",0.388
50,House,6695,1.0,KS,R,"MORRILL, Edmund Needham",0.365
50,House,7342,3.0,KS,R,"PERKINS, Bishop Walden",0.34
50,House,7369,7.0,KS,R,"PETERS, Samuel Ritter",0.323
50,House,8157,4.0,KS,R,"RYAN, Thomas",0.301
50,House,9514,6.0,KS,R,"TURNER, Erastus Johnson",0.467
50,House,996,7.0,KY,D,"BRECKINRIDGE, William Campbell Preston",0.506
50,House,1509,6.0,KY,D,"CARLISLE, John Griffin",0.448
50,House,1557,5.0,KY,D,"CARUTH, Asher Graham",0.304
50,House,3155,11.0,KY,R,"FINLEY, Hugh Franklin",0.411
50,House,4760,3.0,KY,R,"HUNTER, Whiteside Godfrey",0.456
50,House,5398,2.0,KY,D,"LAFFOON, Polk",0.411
50,House,6194,8.0,KY,D,"McCREARY, James Bennett",0.352
50,House,6600,4.0,KY,D,"MONTGOMERY, Alexander Brooks",0.358
50,House,8990,1.0,KY,D,"STONE, William Johnson",0.457
50,House,9191,10.0,KY,D,"TAULBEE, William Preston",0.235
50,House,9293,9.0,KY,R,"THOMAS, George Morgan",0.53
50,House,781,4.0,LA,D,"BLANCHARD, Newton Crain",0.459
50,House,3511,3.0,LA,D,"GAY, Edward James",0.321
50,House,5405,2.0,LA,D,"LAGAN, Matthew Diamond",0.384
50,House,6902,5.0,LA,D,"NEWTON, Cherubusco",0.433
50,House,7961,6.0,LA,D,"ROBERTSON, Edward White",
50,House,7964,6.0,LA,D,"ROBERTSON, Samuel Matthews",0.403
50,House,10122,1.0,LA,D,"WILKINSON, Theodore Stark",0.205
50,House,888,4.0,ME,R,"BOUTELLE, Charles Addison",0.489
50,House,2606,2.0,ME,R,"DINGLEY, Nelson, Jr.",0.388
50,House,6523,3.0,ME,R,"MILLIKEN, Seth Llewellyn",0.44
50,House,7795,1.0,ME,R,"REED, Thomas Brackett",0.485
50,House,1965,5.0,MD,D,"COMPTON, Barnes",0.291
50,House,3557,1.0,MD,D,"GIBSON, Charles Hopper",0.361
50,House,6165,6.0,MD,R,"McCOMAS, Louis Emory",0.324
50,House,7757,4.0,MD,D,"RAYNER, Isidor",0.245
50,House,8119,3.0,MD,D,"RUSK, Harry Welles",0.228
50,House,8415,2.0,MD,D,"SHAW, Frank Thomas",0.376
50,House,102,8.0,MA,R,"ALLEN, Charles Herbert",0.583
50,House,1289,9.0,MA,D,"BURNETT, Edward",0.2
50,House,1910,7.0,MA,R,"COGSWELL, William",0.337
50,House,1948,4.0,MA,D,"COLLINS, Patrick Andrew",0.223
50,House,2407,1.0,MA,R,"DAVIS, Robert Thompson",0.479
50,House,4228,5.0,MA,R,"HAYDEN, Edward Daniel",0.319
50,House,5738,6.0,MA,R,"LODGE, Henry Cabot",0.46
50,House,5762,2.0,MA,R,"LONG, John Davis",0.252
50,House,6736,3.0,MA,D,"MORSE, Leopold",0.255
50,House,8001,12.0,MA,R,"ROCKWELL, Francis Williams",0.344
50,House,8132,10.0,MA,D,"RUSSELL, John Edwards",0.316
50,House,10067,11.0,MA,R,"WHITING, William",0.358
50,House,104,2.0,MI,R,"ALLEN, Edward Payson",0.278
50,House,1016,6.0,MI,R,"BREWER, Mark Spencer",0.346
50,House,1310,4.0,MI,R,"BURROWS, Julius Caesar",0.522
50,House,1704,1.0,MI,D,"CHIPMAN, John Logan",0.183
50,House,2283,9.0,MI,R,"CUTCHEON, Byron M.",0.376
50,House,3172,10.0,MI,D,"FISHER, Spencer Oliver",0.233
50,House,3271,5.0,MI,D,"FORD, Melbourne Haddock",0.257
50,House,6580,11.0,MI,R,"MOFFATT, Seth Crittenden",
50,House,7027,3.0,MI,R,"O'DONNELL, James",0.216
50,House,8384,11.0,MI,R,"SEYMOUR, Henry William",0.229
50,House,9182,8.0,MI,D,"TARSNEY, Timothy Edward",0.28
50,House,10064,7.0,MI,D,"WHITING, Justin Rice",0.362
50,House,5672,2.0,MN,R,"LIND, John",0.15
50,House,5871,3.0,MN,D,"MacDONALD, John Lewis",0.126
50,House,6870,5.0,MN,R,"NELSON, Knute",0.134
50,House,7852,4.0,MN,D,"RICE, Edmund",0.174
50,House,10255,1.0,MN,D,"WILSON, Thomas",0.351
50,House,117,1.0,MS,D,"ALLEN, John Mills",0.6
50,House,162,5.0,MS,D,"ANDERSON, Chapman Levy",0.519
50,House,474,4.0,MS,D,"BARRY, Frederick George",0.568
50,House,1595,3.0,MS,D,"CATCHINGS, Thomas Clendinen",0.416
50,House,4553,7.0,MS,D,"HOOKER, Charles Edward",0.451
50,House,6680,2.0,MS,D,"MORGAN, James Bright",0.512
50,House,8959,6.0,MS,D,"STOCKDALE, Thomas Ringland",0.421
50,House,784,11.0,MO,D,"BLAND, Richard Parks",0.508
50,House,850,4.0,MO,D,"BOOHER, Charles Ferris",0.52
50,House,1286,4.0,MO,D,"BURNES, James Nelson",0.449
50,House,1749,10.0,MO,D,"CLARDY, Martin Linn",0.361
50,House,2631,3.0,MO,D,"DOCKERY, Alexander Monroe",0.316
50,House,3635,9.0,MO,D,"GLOVER, John Milton",0.208
50,House,4188,1.0,MO,D,"HATCH, William Henry",0.478
50,House,4265,6.0,MO,D,"HEARD, John Taddeus",0.245
50,House,4783,7.0,MO,D,"HUTTON, John Edward",0.529
50,House,5969,2.0,MO,D,"MANSUR, Charles Harley",0.234
50,House,7080,8.0,MO,D,"O'NEILL, John Joseph",0.13
50,House,8989,12.0,MO,D,"STONE, William Joel",0.412
50,House,9701,13.0,MO,R,"WADE, William Henry",0.25
50,House,9746,14.0,MO,D,"WALKER, James Peter",0.448
50,House,9838,5.0,MO,R,"WARNER, William",0.171
50,House,2676,3.0,NE,R,"DORSEY, George Washington Emery",0.323
50,House,5409,2.0,NE,R,"LAIRD, James",0.314
50,House,6383,1.0,NE,D,"McSHANE, John Albert",0.178
50,House,10340,1.0,NV,R,"WOODBURN, William",0.195
50,House,3439,2.0,NH,R,"GALLINGER, Jacob Harold",0.401
50,House,6316,1.0,NH,D,"McKINNEY, Luther Franklin",0.291
50,House,1187,2.0,NJ,R,"BUCHANAN, James",0.419
50,House,4451,1.0,NJ,R,"HIRES, George",0.426
50,House,5108,3.0,NJ,R,"KEAN, John",0.385
50,House,5590,6.0,NJ,R,"LEHLBACH, Herman",0.683
50,House,6118,7.0,NJ,D,"McADOO, William",0.201
50,House,7407,5.0,NJ,R,"PHELPS, William Walter",0.493
50,House,7433,4.0,NJ,D,"PIDCOCK, James Nelson",0.262
50,House,324,15.0,NY,D,"BACON, Henry",0.425
50,House,359,30.0,NY,R,"BAKER, Charles Simeon",0.442
50,House,592,25.0,NY,R,"BELDEN, James Jerome",0.766
50,House,618,1.0,NY,D,"BELMONT, Perry",0.335
50,House,795,5.0,NY,D,"BLISS, Archibald Meserole",0.097
50,House,1180,7.0,NY,D,"BRYCE, Lloyd Stephens",0.21
50,House,1447,2.0,NY,D,"CAMPBELL, Felix",0.18
50,House,1467,8.0,NY,D,"CAMPBELL, Timothy John",0.187
50,House,1891,12.0,NY,D,"COCKRAN, William Bourke",0.182
50,House,2118,9.0,NY,D,"COX, Samuel Sullivan",0.249
50,House,2248,6.0,NY,D,"CUMMINGS, Amos Jay",0.319
50,House,2354,29.0,NY,R,"DAVENPORT, Ira",0.258
50,House,2480,26.0,NY,R,"DE LANO, Milton",0.791
50,House,3066,32.0,NY,R,"FARQUHAR, John McCreath",0.383
50,House,3176,13.0,NY,R,"FITCH, Ashbel Parmelee",0.137
50,House,3227,28.0,NY,R,"FLOOD, Thomas Schmeck",0.316
50,House,3797,18.0,NY,D,"GREENMAN, Edward Whitford",0.095
50,House,4575,17.0,NY,R,"HOPKINS, Stephen Tyng",0.551
50,House,5094,19.0,NY,D,"KANE, Nicholas Thomas",
50,House,5219,16.0,NY,R,"KETCHAM, John Henry",0.382
50,House,5408,34.0,NY,R,"LAIDLAW, William Grant",0.375
50,House,5927,4.0,NY,D,"MAHONEY, Peter Paul",0.16
50,House,6431,11.0,NY,D,"MERRIMAN, Truman Adams",0.138
50,House,6583,21.0,NY,R,"MOFFITT, John Henry",0.399
50,House,6989,27.0,NY,R,"NUTTING, Newton Wright",0.415
50,House,7187,22.0,NY,R,"PARKER, Abraham X.",0.299
50,House,8236,31.0,NY,R,"SAWYER, John Gilbert",0.562
50,House,8453,23.0,NY,R,"SHERMAN, James Schoolcraft",0.33
50,House,8798,10.0,NY,D,"SPINOLA, Francis Barretto",0.259
50,House,8826,14.0,NY,D,"STAHLNECKER, William Griggs",0.165
50,House,9445,19.0,NY,D,"TRACEY, Charles",0.232
50,House,9902,33.0,NY,R,"WEBER, John Baptiste",0.391
50,House,9960,20.0,NY,R,"WEST, George",0.618
50,House,10046,3.0,NY,R,"WHITE, Stephen Van Culen",0.291
50,House,10097,24.0,NY,R,"WILBER, David",0.583
50,House,1093,5.0,NC,R,"BROWER, John Morehead",0.424
50,House,2110,8.0,NC,D,"COWLES, William Henry Harrison",0.463
50,House,4312,7.0,NC,D,"HENDERSON, John Steele",0.418
50,House,5013,9.0,NC,D,"JOHNSTON, Thomas Dillard",0.406
50,House,5489,1.0,NC,D,"LATHAM, Louis Charles",0.359
50,House,6143,3.0,NC,D,"McCLAMMY, Charles Washington",0.373
50,House,6918,4.0,NC,,"NICHOLS, John",0.333
50,House,8095,6.0,NC,D,"ROWLAND, Alfred",0.396
50,House,8514,2.0,NC,D,"SIMMONS, Furnifold McLendel",0.295
50,House,856,6.0,OH,R,"BOOTHMAN, Melvin Morella",0.37
50,House,1102,2.0,OH,R,"BROWN, Charles Elwood",0.42
50,House,1360,1.0,OH,R,"BUTTERWORTH, Benjamin",0.269
50,House,1452,7.0,OH,D,"CAMPBELL, James Edwin",0.205
50,House,2059,9.0,OH,R,"COOPER, William Craig",0.402
50,House,2203,20.0,OH,R,"CROUSE, George Washington",0.373
50,House,3263,21.0,OH,D,"FORAN, Martin Ambrose",0.244
50,House,3855,15.0,OH,R,"GROSVENOR, Charles Henry",0.679
50,House,5185,8.0,OH,R,"KENNEDY, Robert Patterson",0.55
50,House,6312,18.0,OH,R,"McKINLEY, William, Jr.",0.409
50,House,7116,13.0,OH,D,"OUTHWAITE, Joseph Hodson",0.217
50,House,7649,12.0,OH,R,"PUGSLEY, Jacob Joseph",0.571
50,House,8045,10.0,OH,R,"ROMEIS, Jacob",0.394
50,House,8362,5.0,OH,D,"SENEY, George Ebbert",0.162
50,House,9206,19.0,OH,R,"TAYLOR, Ezra Booth",0.462
50,House,9224,17.0,OH,R,"TAYLOR, Joseph Danner",0.391
50,House,9314,11.0,OH,R,"THOMPSON, Albert Clifton",0.445
50,House,10087,14.0,OH,R,"WICKHAM, Charles Preston",0.604
50,House,10119,16.0,OH,D,"WILKINS, Beriah",0.179
50,House,10141,3.0,OH,R,"WILLIAMS, Elihu Stephen",0.421
50,House,10427,4.0,OH,D,"YODER, Samuel S.",0.143
50,House,4355,1.0,OR,R,"HERMANN, Binger",0.304
50,House,285,18.0,PA,R,"ATKINSON, Louis Evans",0.428
50,House,536,23.0,PA,R,"BAYNE, Thomas McKee",0.416
50,House,715,1.0,PA,R,"BINGHAM, Henry Harrison",0.54
50,House,883,14.0,PA,R,"BOUND, Franklin",0.359
50,House,1162,13.0,PA,R,"BRUMM, Charles Napoleon",0.545
50,House,1200,11.0,PA,D,"BUCKALEW, Charles Rollin",0.465
50,House,1241,15.0,PA,R,"BUNNELL, Frank Charles",0.497
50,House,2310,22.0,PA,R,"DALZELL, John",0.384
50,House,2342,6.0,PA,R,"DARLINGTON, Smedley",0.372
50,House,2982,8.0,PA,D,"ERMENTROUT, Daniel",0.206
50,House,3949,26.0,PA,D,"HALL, Norman",0.33
50,House,4080,5.0,PA,R,"HARMER, Alfred Crout",0.288
50,House,4389,9.0,PA,R,"HIESTAND, John Andrew",0.507
50,House,4861,24.0,PA,R,"JACKSON, Oscar Lawrence",0.635
50,House,5140,4.0,PA,R,"KELLEY, William Darrah",0.622
50,House,5854,12.0,PA,D,"LYNCH, John",0.391
50,House,5904,25.0,PA,R,"MAFFETT, James Thompson",
50,House,5931,19.0,PA,D,"MAISH, Levi",0.333
50,House,6178,16.0,PA,R,"McCORMICK, Henry Clay",0.41
50,House,6205,21.0,PA,R,"McCULLOGH, Welty",0.608
50,House,7076,2.0,PA,R,"O'NEILL, Charles",0.489
50,House,7091,99.0,PA,R,"OSBORNE, Edwin Sylvanus",0.399
50,House,7262,20.0,PA,R,"PATTON, John",0.35
50,House,7715,3.0,PA,D,"RANDALL, Samuel Jackson",0.216
50,House,8314,27.0,PA,D,"SCOTT, William Lawrence",0.306
50,House,8329,17.0,PA,R,"SCULL, Edward",0.581
50,House,8755,10.0,PA,D,"SOWDEN, William Henry",0.063
50,House,10415,7.0,PA,R,"YARDLEY, Robert Morris",0.448
50,House,250,2.0,RI,R,"ARNOLD, Warren Otis",0.661
50,House,8799,1.0,RI,R,"SPOONER, Henry Joshua",0.619
50,House,2084,3.0,SC,D,"COTHRAN, James Sproull",0.443
50,House,2337,6.0,SC,D,"DARGAN, George William",0.474
50,House,2553,1.0,SC,D,"DIBBLE, Samuel",0.266
50,House,2918,7.0,SC,D,"ELLIOTT, William",0.378
50,House,4297,5.0,SC,D,"HEMPHILL, John James",0.452
50,House,7359,4.0,SC,D,"PERRY, William Hayne",0.391
50,House,9387,2.0,SC,D,"TILLMAN, George Dionysius",0.424
50,House,1348,1.0,TN,R,"BUTLER, Roderick Randum",0.659
